principio_ativo_limpo,categoria_terapeutica,total_produtos_registrados,produtos_principais,empresas_principais,popularidade_mercado,diversidade_formulacoes,texto_completo_busca,texto_resumo_busca
Alfasimoctocogue,Outros,1,Nuwiq,02552927000160 - OCTAPHARMA BRASIL LTDA,baixa,baixa,Medicamento: Alfasimoctocogue | Principio Ativo:  ALFASIMOCTOCOGUE | Classe Terapeutica: ANTI-HEMORRAGICOS | Categoria: Outros | Produtos Comerciais: Nuwiq | Total de Produtos: 1,Alfasimoctocogue - Outros
Acido Acetilsalicilico Acido Citrico Bicarbonato De Sodio Carbonato De Sodio Acido Acetilsalicilico Acido Citrico,Outros,1,SONRISAL,33247743000110 - GLAXOSMITHKLINE BRASIL LTDA,baixa,baixa,Medicamento: Acido Acetilsalicilico Acido Citrico Bicarbonato De Sodio Carbonato De Sodio Acido Acetilsalicilico Acido Citrico | Principio Ativo: ACIDO ACETILSALICILICO +  ACIDO CITRICO +  BICARBONATO DE SÓDIO +  CARBONATO DE SÓDIO +  ÁCIDO ACETILSALICÍLICO +  ÁCIDO CÍTRICO | Classe Terapeutica: ANTIACIDO | Categoria: Outros | Produtos Comerciais: SONRISAL | Total de Produtos: 1,Acido Acetilsalicilico Acido Citrico Bicarbonato De Sodio Carbonato De Sodio Acido Acetilsalicilico Acido Citrico - Outros
Acido Acetilsalicilico Cafeina,Analgesico,1,CAFIASPIRINA,18459628000115 - BAYER S.A.,baixa,baixa,Medicamento: Acido Acetilsalicilico Cafeina | Principio Ativo: ACIDO ACETILSALICILICO +  CAFEÍNA | Classe Terapeutica: ANALGESICOS NAO NARCOTICOS | Categoria: Analgesico | Produtos Comerciais: CAFIASPIRINA | Total de Produtos: 1,Acido Acetilsalicilico Cafeina - Analgesico
Acido Acetilsalicilico Cafeina Hidroxido De Aluminio Maleato De Mepiramina,Analgesico,1,ENJOY,25773037000183 - PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A,baixa,baixa,Medicamento: Acido Acetilsalicilico Cafeina Hidroxido De Aluminio Maleato De Mepiramina | Principio Ativo: ACIDO ACETILSALICILICO +  CAFEÍNA +  HIDROXIDO DE ALUMÍNIO +  MALEATO DE MEPIRAMINA | Classe Terapeutica: ANALGESICOS CONTRA ENXAQUECA | Categoria: Analgesico | Produtos Comerciais: ENJOY | Total de Produtos: 1,Acido Acetilsalicilico Cafeina Hidroxido De Aluminio Maleato De Mepiramina - Analgesico
Acido Acetilsalicilico Acido Acetilsalicilsalicilico,Analgesico,1,SALICETIL,46179008000168 - BRASTERAPICA INDUSTRIA FARMACEUTICA EIRELI,baixa,baixa,Medicamento: Acido Acetilsalicilico Acido Acetilsalicilsalicilico | Principio Ativo: ACIDO ACETILSALICILICO +  ÁCIDO ACETILSALICILSALICÍLICO | Classe Terapeutica: ANALGESICOS | Categoria: Analgesico | Produtos Comerciais: SALICETIL | Total de Produtos: 1,Acido Acetilsalicilico Acido Acetilsalicilsalicilico - Analgesico
Acido Acetilsalicilico Acido Acetilsalicilico,Analgesico,2,ácido acetilsalicílico,02814497000107 - CIMED INDUSTRIA S.A; 48113906000149 - 1FARMA INDUSTRIA FARMACEUTICA LTDA,baixa,baixa,Medicamento: Acido Acetilsalicilico Acido Acetilsalicilico | Principio Ativo: ACIDO ACETILSALICILICO +  ÁCIDO ACETILSALICÍLICO | Classe Terapeutica: ANALGESICOS NAO NARCOTICOS | Categoria: Analgesico | Produtos Comerciais: ácido acetilsalicílico | Total de Produtos: 2,Acido Acetilsalicilico Acido Acetilsalicilico - Analgesico
Acido Acetilsalicilico Acido Acetilsalicilico Bicarbonato De Sodio Acido Citrico Acido Citrico Carbonato De Sodio,Outros,1,SONRISAL,30872270000153 - PF CONSUMER HEALTHCARE BRAZIL IMPORTADORA E DISTRIBUIDORA DE ME,baixa,baixa,Medicamento: Acido Acetilsalicilico Acido Acetilsalicilico Bicarbonato De Sodio Acido Citrico Acido Citrico Carbonato De Sodio | Principio Ativo: ACIDO ACETILSALICILICO +  ÁCIDO ACETILSALICÍLICO +  BICARBONATO DE SÓDIO +  ACIDO CITRICO +  ÁCIDO CÍTRICO +  CARBONATO DE SÓDIO | Classe Terapeutica: ANTIACIDO | Categoria: Outros | Produtos Comerciais: SONRISAL | Total de Produtos: 1,Acido Acetilsalicilico Acido Acetilsalicilico Bicarbonato De Sodio Acido Citrico Acido Citrico Carbonato De Sodio - Outros
Acido Citrico Bicarbonato De Sodio Carbonato De Sodio,Outros,2,DIGIAZIA; FRUSALT,48113906000149 - 1FARMA INDUSTRIA FARMACEUTICA LTDA; 02814497000107 - CIMED INDUSTRIA S.A,baixa,baixa,Medicamento: Acido Citrico Bicarbonato De Sodio Carbonato De Sodio | Principio Ativo: ACIDO CITRICO +  BICARBONATO DE SÓDIO +  CARBONATO DE SÓDIO | Classe Terapeutica: ANTIACIDO | Categoria: Outros | Produtos Comerciais: DIGIAZIA; FRUSALT | Total de Produtos: 2,Acido Citrico Bicarbonato De Sodio Carbonato De Sodio - Outros
Acido Citrico Bicarbonato De Sodio Carbonato De Sodio Acido Citrico,Outros,1,SAL DE FRUTA ENO,30872270000153 - PF CONSUMER HEALTHCARE BRAZIL IMPORTADORA E DISTRIBUIDORA DE ME,baixa,baixa,Medicamento: Acido Citrico Bicarbonato De Sodio Carbonato De Sodio Acido Citrico | Principio Ativo: ACIDO CITRICO +  BICARBONATO DE SÓDIO +  CARBONATO DE SÓDIO +  ÁCIDO CÍTRICO | Classe Terapeutica: ANTIACIDOS E ANTIULCEROSOS SIMPLES | Categoria: Outros | Produtos Comerciais: SAL DE FRUTA ENO | Total de Produtos: 1,Acido Citrico Bicarbonato De Sodio Carbonato De Sodio Acido Citrico - Outros
Acidum Nitricum Clematis Erecta Pulsatilla Nigricans Thuya Occidentalis,Outros,1,COMPLEXO HOMEOPÁTICO THUYA ALMEIDA PRADO 18,60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA,baixa,baixa,Medicamento: Acidum Nitricum Clematis Erecta Pulsatilla Nigricans Thuya Occidentalis | Principio Ativo: ACIDUM NITRICUM +  CLEMATIS ERECTA +  PULSATILLA NIGRICANS +  THUYA OCCIDENTALIS | Classe Terapeutica: MEDICAMENTOS DINAMIZADOS COMPOSTOS | Categoria: Outros | Produtos Comerciais: COMPLEXO HOMEOPÁTICO THUYA ALMEIDA PRADO 18 | Total de Produtos: 1,Acidum Nitricum Clematis Erecta Pulsatilla Nigricans Thuya Occidentalis - Outros
Acidum Phosphoricum Kalium Bromatum Strychnos Ignatii Sepia Officinalis Zincum Isovalerianicum,Outros,1,NERVOHEEL N,05994539000127 - HEEL DO BRASIL BIOMÉDICA LTDA,baixa,baixa,Medicamento: Acidum Phosphoricum Kalium Bromatum Strychnos Ignatii Sepia Officinalis Zincum Isovalerianicum | Principio Ativo: ACIDUM PHOSPHORICUM +  KALIUM BROMATUM +  STRYCHNOS IGNATII +  SEPIA OFFICINALIS +  ZINCUM ISOVALERIANICUM | Classe Terapeutica: MEDICAMENTOS DINAMIZADOS COMPOSTOS | Categoria: Outros | Produtos Comerciais: NERVOHEEL N | Total de Produtos: 1,Acidum Phosphoricum Kalium Bromatum Strychnos Ignatii Sepia Officinalis Zincum Isovalerianicum - Outros
Acitretina,Outros,2,Acitretina; NEOTIGASON,44363661000157 - GLENMARK FARMACÊUTICA LTDA; 05333542000108 - TEVA FARMACÊUTICA LTDA.,baixa,baixa,Medicamento: Acitretina | Principio Ativo: ACITRETINA | Classe Terapeutica: CERATOLITICOS E CERATOPLASTICOS | Categoria: Outros | Produtos Comerciais: Acitretina; NEOTIGASON | Total de Produtos: 2,Acitretina - Outros
Aconitum Napellus Ammonium Bromatum Agaricus Muscarius Chamomilla Recutita Citrullus Colocynthis Schrad. Colocynthis Gelsemium Sempervirens Magnesium Phosphoricum Matricaria Recutita L. Passiflora Incarnata Veratrum Album Atropinum Sulfuricum Cuprum Sulfuricum,Outros,1,SPASCUPREEL,05994539000127 - HEEL DO BRASIL BIOMÉDICA LTDA,baixa,baixa,Medicamento: Aconitum Napellus Ammonium Bromatum Agaricus Muscarius Chamomilla Recutita Citrullus Colocynthis Schrad. Colocynthis Gelsemium Sempervirens Magnesium Phosphoricum Matricaria Recutita L. Passiflora Incarnata Veratrum Album Atropinum Sulfuricum Cuprum Sulfuricum | Principio Ativo: ACONITUM NAPELLUS +  AMMONIUM BROMATUM +  AGARICUS MUSCARIUS +  CHAMOMILLA RECUTITA +  CITRULLUS COLOCYNTHIS SCHRAD. +  COLOCYNTHIS +  GELSEMIUM SEMPERVIRENS +  MAGNESIUM PHOSPHORICUM +  MATRICARIA RECUTITA L. +  PASSIFLORA INCARNATA +  VERATRUM ALBUM +  ATROPINUM SULFURICUM +  CUPRUM SULFURICUM | Classe Terapeutica: MEDICAMENTOS DINAMIZADOS COMPOSTOS | Categoria: Outros | Produtos Comerciais: SPASCUPREEL | Total de Produtos: 1,Aconitum Napellus Ammonium Bromatum Agaricus Muscarius Chamomilla Recutita Citrullus Colocynthis Schrad. Colocynthis Gelsemium Sempervirens Magnesium Phosphoricum Matricaria Recutita L. Passiflora Incarnata Veratrum Album Atropinum Sulfuricum Cuprum Sulfuricum - Outros
Aconitum Napellus Argentum Nitricum Arsenicum Album Aurum Metallicum Phosphorus Valeriana Officinalis L.,Outros,1,HOMEOPAX,60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA,baixa,baixa,Medicamento: Aconitum Napellus Argentum Nitricum Arsenicum Album Aurum Metallicum Phosphorus Valeriana Officinalis L. | Principio Ativo: ACONITUM NAPELLUS +  ARGENTUM NITRICUM +  ARSENICUM ALBUM +  AURUM METALLICUM +  PHOSPHORUS +  VALERIANA OFFICINALIS L. | Classe Terapeutica: MEDICAMENTOS DINAMIZADOS COMPOSTOS | Categoria: Outros | Produtos Comerciais: HOMEOPAX | Total de Produtos: 1,Aconitum Napellus Argentum Nitricum Arsenicum Album Aurum Metallicum Phosphorus Valeriana Officinalis L. - Outros
Aconitum Napellus Atropa Belladonna Gelsemium Sempervirens,Outros,1,SOLUÇÃO DE ACÔNITO COMPOSTO KLEIN,92762277000170 - VIDORA FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Aconitum Napellus Atropa Belladonna Gelsemium Sempervirens | Principio Ativo: ACONITUM NAPELLUS +  ATROPA BELLADONNA +  GELSEMIUM SEMPERVIRENS | Classe Terapeutica: MEDICAMENTOS DINAMIZADOS COMPOSTOS | Categoria: Outros | Produtos Comerciais: SOLUÇÃO DE ACÔNITO COMPOSTO KLEIN | Total de Produtos: 1,Aconitum Napellus Atropa Belladonna Gelsemium Sempervirens - Outros
Aconitum Napellus Atropa Belladonna Hypericum Perforatum Rhus Toxicodendron L. Symphytum Officinale L. Arnica Montana,Outros,1,HOMEOFLAN,60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA,baixa,baixa,Medicamento: Aconitum Napellus Atropa Belladonna Hypericum Perforatum Rhus Toxicodendron L. Symphytum Officinale L. Arnica Montana | Principio Ativo: ACONITUM NAPELLUS +  ATROPA BELLADONNA +  HYPERICUM PERFORATUM +  RHUS TOXICODENDRON L. +  SYMPHYTUM OFFICINALE L. +  ARNICA MONTANA | Classe Terapeutica: MEDICAMENTOS DINAMIZADOS COMPOSTOS | Categoria: Outros | Produtos Comerciais: HOMEOFLAN | Total de Produtos: 1,Aconitum Napellus Atropa Belladonna Hypericum Perforatum Rhus Toxicodendron L. Symphytum Officinale L. Arnica Montana - Outros
Aconitum Napellus Bryonia Alba L. Eucaliptus Globulus Labill Eupatorium Perfoliatum L. Ferrum Phosphoricum,Outros,1,INFLUDORON WELEDA,56992217000180 - WELEDA DO BRASIL LABORATÓRIO E FARMÁCIA LTDA,baixa,baixa,Medicamento: Aconitum Napellus Bryonia Alba L. Eucaliptus Globulus Labill Eupatorium Perfoliatum L. Ferrum Phosphoricum | Principio Ativo: ACONITUM NAPELLUS +  BRYONIA ALBA L. +  EUCALIPTUS GLOBULUS  LABILL +  EUPATORIUM PERFOLIATUM L. +  FERRUM PHOSPHORICUM | Classe Terapeutica: MEDICAMENTOS DINAMIZADOS COMPOSTOS | Categoria: Outros | Produtos Comerciais: INFLUDORON WELEDA | Total de Produtos: 1,Aconitum Napellus Bryonia Alba L. Eucaliptus Globulus Labill Eupatorium Perfoliatum L. Ferrum Phosphoricum - Outros
Aconitum Napellus Bryonia Alba L. Eucaliptus Globulus Labill Eupatorium Perfoliatum L. Phosphorus,Outros,1,INFLUDO,56992217000180 - WELEDA DO BRASIL LABORATÓRIO E FARMÁCIA LTDA,baixa,baixa,Medicamento: Aconitum Napellus Bryonia Alba L. Eucaliptus Globulus Labill Eupatorium Perfoliatum L. Phosphorus | Principio Ativo: ACONITUM NAPELLUS +  BRYONIA ALBA L. +  EUCALIPTUS GLOBULUS  LABILL +  EUPATORIUM PERFOLIATUM L. +  PHOSPHORUS | Classe Terapeutica: MEDICAMENTOS DINAMIZADOS COMPOSTOS | Categoria: Outros | Produtos Comerciais: INFLUDO | Total de Produtos: 1,Aconitum Napellus Bryonia Alba L. Eucaliptus Globulus Labill Eupatorium Perfoliatum L. Phosphorus - Outros
Aconitum Napellus Bryonia Cretica L. Eupatorium Perfoliatum L. Lachesis Muta Phosphorus,Outros,1,GRIPPHEEL,05994539000127 - HEEL DO BRASIL BIOMÉDICA LTDA,baixa,baixa,Medicamento: Aconitum Napellus Bryonia Cretica L. Eupatorium Perfoliatum L. Lachesis Muta Phosphorus | Principio Ativo: ACONITUM NAPELLUS +  BRYONIA CRETICA L. +  EUPATORIUM PERFOLIATUM L. +  LACHESIS MUTA +  PHOSPHORUS | Classe Terapeutica: MEDICAMENTOS DINAMIZADOS COMPOSTOS | Categoria: Outros | Produtos Comerciais: GRIPPHEEL | Total de Produtos: 1,Aconitum Napellus Bryonia Cretica L. Eupatorium Perfoliatum L. Lachesis Muta Phosphorus - Outros
Aconitum Napellus L. Cephaelis Ipecacuanha (Brot.) A. Rich Mikania Glomerata Spreng. Myroxylon Balsamum (L.) Harms Nasturtium Officinale R.Br. Polygala Senega L.,Outros,1,GUACOVITA,56646953000186 - LABORATORIO VITALAB LTDA,baixa,baixa,Medicamento: Aconitum Napellus L. Cephaelis Ipecacuanha (Brot.) A. Rich Mikania Glomerata Spreng. Myroxylon Balsamum (L.) Harms Nasturtium Officinale R.Br. Polygala Senega L. | Principio Ativo: ACONITUM NAPELLUS L. +  CEPHAELIS IPECACUANHA (BROT.) A. RICH +  MIKANIA GLOMERATA SPRENG. +  MYROXYLON BALSAMUM (L.) HARMS +  NASTURTIUM OFFICINALE R.BR. +  POLYGALA SENEGA L. | Classe Terapeutica: FITOTERAPICO COMPOSTO | Categoria: Outros | Produtos Comerciais: GUACOVITA | Total de Produtos: 1,Aconitum Napellus L. Cephaelis Ipecacuanha (Brot.) A. Rich Mikania Glomerata Spreng. Myroxylon Balsamum (L.) Harms Nasturtium Officinale R.Br. Polygala Senega L. - Outros
Actaea Racemosa Lachesis Mutus Pulsatilla Nigricans Sanguinaria Canadensis L. Sepia Succus Valeriana Officinalis L.,Outros,1,MENOEX,60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA,baixa,baixa,Medicamento: Actaea Racemosa Lachesis Mutus Pulsatilla Nigricans Sanguinaria Canadensis L. Sepia Succus Valeriana Officinalis L. | Principio Ativo: ACTAEA RACEMOSA +  LACHESIS MUTUS +  PULSATILLA NIGRICANS +  SANGUINARIA CANADENSIS L. +  SÉPIA SUCCUS	 +  VALERIANA OFFICINALIS L. | Classe Terapeutica: MEDICAMENTOS DINAMIZADOS COMPOSTOS | Categoria: Outros | Produtos Comerciais: MENOEX | Total de Produtos: 1,Actaea Racemosa Lachesis Mutus Pulsatilla Nigricans Sanguinaria Canadensis L. Sepia Succus Valeriana Officinalis L. - Outros
Actaea Racemosa Lachesis Mutus Sanguinaria Canadensis L. Sepia Officinalis,Outros,1,COMPLEXO HOMEOPÁTICO LACHESIS ALMEIDA PRADO 28,60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA,baixa,baixa,Medicamento: Actaea Racemosa Lachesis Mutus Sanguinaria Canadensis L. Sepia Officinalis | Principio Ativo: ACTAEA RACEMOSA +  LACHESIS MUTUS +  SANGUINARIA CANADENSIS L. +  SEPIA OFFICINALIS | Classe Terapeutica: MEDICAMENTOS DINAMIZADOS COMPOSTOS | Categoria: Outros | Produtos Comerciais: COMPLEXO HOMEOPÁTICO LACHESIS ALMEIDA PRADO 28 | Total de Produtos: 1,Actaea Racemosa Lachesis Mutus Sanguinaria Canadensis L. Sepia Officinalis - Outros
Actaea Racemosa Matricaria Chamomilla L. Natrum Muriaticum Pulsatilla Nigricans Sepia Succus,Outros,1,TEPEEX,60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA,baixa,baixa,Medicamento: Actaea Racemosa Matricaria Chamomilla L. Natrum Muriaticum Pulsatilla Nigricans Sepia Succus | Principio Ativo: ACTAEA RACEMOSA +  MATRICARIA CHAMOMILLA L. +  NATRUM MURIATICUM +  PULSATILLA NIGRICANS +  SÉPIA SUCCUS	 | Classe Terapeutica: MEDICAMENTOS DINAMIZADOS COMPOSTOS | Categoria: Outros | Produtos Comerciais: TEPEEX | Total de Produtos: 1,Actaea Racemosa Matricaria Chamomilla L. Natrum Muriaticum Pulsatilla Nigricans Sepia Succus - Outros
Actaea Racemosa L.,Outros,4,APLAUSE; CLIFEMIN; MENOVITA,60726692000181 - MARJAN INDÚSTRIA E COMÉRCIO LTDA; 78950011000120 - HERBARIUM LABORATORIO BOTANICO LTDA; 56646953000186 - LABORATORIO VITALAB LTDA,baixa,media,Medicamento: Actaea Racemosa L. | Principio Ativo: ACTAEA RACEMOSA L. | Classe Terapeutica: OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA | Categoria: Outros | Produtos Comerciais: APLAUSE; CLIFEMIN; MENOVITA | Total de Produtos: 4,Actaea Racemosa L. - Outros
Adalimumabe,Outros,12,AMGEVITA; HUMIRA; Hyrimoz,18774815000193 - AMGEN BIOTECNOLOGIA DO BRASIL LTDA.; 15800545000150 - ABBVIE FARMACÊUTICA LTDA.; 61286647000116 - SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,alta,alta,Medicamento: Adalimumabe | Principio Ativo: ADALIMUMABE | Classe Terapeutica: ANTINFLAMATORIOS ANTIREUMATICOS | Categoria: Outros | Produtos Comerciais: AMGEVITA; HUMIRA; Hyrimoz | Total de Produtos: 12,Adalimumabe - Outros
Adapaleno,Outros,6,ADACNE; ADAPALENO; BELPELE,44363661000157 - GLENMARK FARMACÊUTICA LTDA; 10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.; 33349473000158 - FARMOQUÍMICA S/A,media,alta,Medicamento: Adapaleno | Principio Ativo: ADAPALENO | Classe Terapeutica: PRODUTOS ANTI-ACNE | Categoria: Outros | Produtos Comerciais: ADACNE; ADAPALENO; BELPELE | Total de Produtos: 6,Adapaleno - Outros
Adapaleno Fosfato De Clindamicina,Outros,2,ADACNE CLIN; DERIVA C MICRO,44363661000157 - GLENMARK FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Adapaleno Fosfato De Clindamicina | Principio Ativo: ADAPALENO +  FOSFATO DE CLINDAMICINA | Classe Terapeutica: PRODUTOS ANTI-ACNE | Categoria: Outros | Produtos Comerciais: ADACNE CLIN; DERIVA C MICRO | Total de Produtos: 2,Adapaleno Fosfato De Clindamicina - Outros
Adapaleno Peroxido De Benzoila,Outros,1,Epiduo,00317372000146 - GALDERMA BRASIL LTDA,baixa,baixa,Medicamento: Adapaleno Peroxido De Benzoila | Principio Ativo: ADAPALENO +  PERÓXIDO DE BENZOÍLA | Classe Terapeutica: PRODUTOS ANTI-ACNE | Categoria: Outros | Produtos Comerciais: Epiduo | Total de Produtos: 1,Adapaleno Peroxido De Benzoila - Outros
Adenosina,Outros,5,ADENOCARD; ADENOSINA; LOWE,61230314000175 - LIBBS FARMACÊUTICA LTDA; 19570720000110 - HIPOLABOR FARMACEUTICA LTDA; 01571702000198 - HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA,media,media,Medicamento: Adenosina | Principio Ativo: ADENOSINA | Classe Terapeutica: OUTROS PRODUTOS COM ACAO NO MIOCARDIO E SISTEMA DE CONDUCAO | Categoria: Outros | Produtos Comerciais: ADENOCARD; ADENOSINA; LOWE | Total de Produtos: 5,Adenosina - Outros
Aesculus Hippocastanum L.,Outros,24,CASTANHA DA INDIA GLOBO; CASTANHA DA INDIA ORIENT; CASTANHA DA ÍNDIA,17115437000173 - LABORATÓRIO GLOBO SA; 73657876000189 - ORIENT MIX FITOTERÁPICOS DO BRASIL LTDA.; 18324343000177 - BELFAR LTDA,alta,alta,Medicamento: Aesculus Hippocastanum L. | Principio Ativo: AESCULUS HIPPOCASTANUM L. | Classe Terapeutica: ANTIVARICOSOS DE ACAO SISTEMICA | Categoria: Outros | Produtos Comerciais: CASTANHA DA INDIA GLOBO; CASTANHA DA INDIA ORIENT; CASTANHA DA ÍNDIA | Total de Produtos: 24,Aesculus Hippocastanum L. - Outros
Aesculus Hippocastanum L. Capsicum Annum L. Nux Vomica Polygonum Punctatum H.Lev Ratanhia,Outros,1,COMPLEXO HOMEOPÁTICO AESCULUS ALMEIDA PRADO 20,60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA,baixa,baixa,Medicamento: Aesculus Hippocastanum L. Capsicum Annum L. Nux Vomica Polygonum Punctatum H.Lev Ratanhia | Principio Ativo: AESCULUS HIPPOCASTANUM L. +  CAPSICUM ANNUM L. +  NUX VÔMICA +  POLYGONUM PUNCTATUM H.LÉV +  RATANHIA | Classe Terapeutica: MEDICAMENTOS DINAMIZADOS COMPOSTOS | Categoria: Outros | Produtos Comerciais: COMPLEXO HOMEOPÁTICO AESCULUS ALMEIDA PRADO 20 | Total de Produtos: 1,Aesculus Hippocastanum L. Capsicum Annum L. Nux Vomica Polygonum Punctatum H.Lev Ratanhia - Outros
Aesculus Hippocastanum L. Capsicum Annuum L. Nux Vomica Polygonum Punctatum H.Lev Ratanhia,Outros,1,HEMORROIMED,60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA,baixa,baixa,Medicamento: Aesculus Hippocastanum L. Capsicum Annuum L. Nux Vomica Polygonum Punctatum H.Lev Ratanhia | Principio Ativo: AESCULUS HIPPOCASTANUM L. +  CAPSICUM ANNUUM L. +  NUX VÔMICA +  POLYGONUM PUNCTATUM H.LÉV +  RATANHIA | Classe Terapeutica: MEDICAMENTOS DINAMIZADOS COMPOSTOS | Categoria: Outros | Produtos Comerciais: HEMORROIMED | Total de Produtos: 1,Aesculus Hippocastanum L. Capsicum Annuum L. Nux Vomica Polygonum Punctatum H.Lev Ratanhia - Outros
Aesculus Hippocastanum L. Rutina Smilax Papiracea Polygonum Acre H.B.K.,Outros,1,CASTANHA DA ÍNDIA COMPOSTA,33223157000135 - MAKROFARMA QUIMICA FARMACEUTICA LTDA,baixa,baixa,Medicamento: Aesculus Hippocastanum L. Rutina Smilax Papiracea Polygonum Acre H.B.K. | Principio Ativo: AESCULUS HIPPOCASTANUM L. +  RUTINA +  SMILAX PAPIRACEA +  POLYGONUM ACRE H.B.K. | Classe Terapeutica: ANTIVARICOSOS DE ACAO SISTEMICA | Categoria: Outros | Produtos Comerciais: CASTANHA DA ÍNDIA COMPOSTA | Total de Produtos: 1,Aesculus Hippocastanum L. Rutina Smilax Papiracea Polygonum Acre H.B.K. - Outros
Aflibercepte,Outros,2,Eylia; Zaltrap,18459628000115 - BAYER S.A.; 10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.,baixa,baixa,Medicamento: Aflibercepte | Principio Ativo: AFLIBERCEPTE | Classe Terapeutica: OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL | Categoria: Outros | Produtos Comerciais: Eylia; Zaltrap | Total de Produtos: 2,Aflibercepte - Outros
Agar-Agar Picossulfato De Sodio Oleo Mineral Leve,Outros,1,AGAROL,59748988000114 - JOHNSON & JOHNSON INDUSTRIAL LTDA.,baixa,baixa,Medicamento: Agar-Agar Picossulfato De Sodio Oleo Mineral Leve | Principio Ativo: AGAR-AGAR +  PICOSSULFATO DE SÓDIO +  ÓLEO MINERAL LEVE | Classe Terapeutica: LAXANTES IRRITANTES OU ESTIMULANTES | Categoria: Outros | Produtos Comerciais: AGAROL | Total de Produtos: 1,Agar-Agar Picossulfato De Sodio Oleo Mineral Leve - Outros
Aglutinogenos Fimbriais De Bordetella Pertussis Dos Sorotipos 2 E 3 Hemaglutinina Filamentosa Pertactina Poliovirus Inativados Tipo 1 Poliovirus Inativados Tipo 2 Poliovirus Inativados Tipo 3 Polissacarideo De Haemophilus Influenzae Tipo B Toxoide Tetanico Toxoide Difterico Toxoide Pertussis,Outros,1,PEDIACEL,10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.,baixa,baixa,Medicamento: Aglutinogenos Fimbriais De Bordetella Pertussis Dos Sorotipos 2 E 3 Hemaglutinina Filamentosa Pertactina Poliovirus Inativados Tipo 1 Poliovirus Inativados Tipo 2 Poliovirus Inativados Tipo 3 Polissacarideo De Haemophilus Influenzae Tipo B Toxoide Tetanico Toxoide Difterico Toxoide Pertussis | Principio Ativo: AGLUTINÓGENOS FIMBRIAIS DE BORDETELLA PERTUSSIS DOS SOROTIPOS 2 E 3 +  HEMAGLUTININA FILAMENTOSA +  PERTACTINA +  POLIOVÍRUS INATIVADOS TIPO 1 +  POLIOVÍRUS INATIVADOS TIPO 2 +  POLIOVÍRUS INATIVADOS TIPO 3 +  POLISSACARÍDEO DE HAEMOPHILUS INFLUENZAE TIPO B +  TOXÓIDE TETÂNICO +  TOXÓIDE DIFTÉRICO +  TOXÓIDE PERTUSSIS | Classe Terapeutica: VACINAS | Categoria: Outros | Produtos Comerciais: PEDIACEL | Total de Produtos: 1,Aglutinogenos Fimbriais De Bordetella Pertussis Dos Sorotipos 2 E 3 Hemaglutinina Filamentosa Pertactina Poliovirus Inativados Tipo 1 Poliovirus Inativados Tipo 2 Poliovirus Inativados Tipo 3 Polissacarideo De Haemophilus Influenzae Tipo B Toxoide Tetanico Toxoide Difterico Toxoide Pertussis - Outros
